
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-03, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
   850 |  2.460e-07 |  2.458e-08 |  7.152e-09 |  7.49e-05 |  1.72e-04 |  5.27e-05 |  1.26e-02 |  7.93e-03 |  9.98e-05 |  1.0e-04 |  4.91e-11 |  1.04e-03
   860 |  2.443e-07 |  2.441e-08 |  7.080e-09 |  7.46e-05 |  1.71e-04 |  5.24e-05 |  1.25e-02 |  7.88e-03 |  9.84e-05 |  1.0e-04 |  5.54e-11 |  1.04e-03
   870 |  2.426e-07 |  2.425e-08 |  7.016e-09 |  7.43e-05 |  1.71e-04 |  5.23e-05 |  1.24e-02 |  7.84e-03 |  9.71e-05 |  1.0e-04 |  4.84e-11 |  1.03e-03
   880 |  2.411e-07 |  2.409e-08 |  6.951e-09 |  7.39e-05 |  1.70e-04 |  5.23e-05 |  1.23e-02 |  7.80e-03 |  9.57e-05 |  1.0e-04 |  4.88e-11 |  1.03e-03
   890 |  2.395e-07 |  2.393e-08 |  6.882e-09 |  7.36e-05 |  1.69e-04 |  5.16e-05 |  1.22e-02 |  7.75e-03 |  9.45e-05 |  1.0e-04 |  3.96e-11 |  1.03e-03
   900 |  2.380e-07 |  2.378e-08 |  6.822e-09 |  7.33e-05 |  1.68e-04 |  5.17e-05 |  1.21e-02 |  7.71e-03 |  9.33e-05 |  1.0e-04 |  4.93e-11 |  1.03e-03
   910 |  2.365e-07 |  2.363e-08 |  6.758e-09 |  7.30e-05 |  1.67e-04 |  5.14e-05 |  1.20e-02 |  7.67e-03 |  9.21e-05 |  1.0e-04 |  3.38e-11 |  1.03e-03
   920 |  2.350e-07 |  2.349e-08 |  6.699e-09 |  7.27e-05 |  1.66e-04 |  5.12e-05 |  1.19e-02 |  7.63e-03 |  9.10e-05 |  1.0e-04 |  4.51e-11 |  1.03e-03
   930 |  2.336e-07 |  2.334e-08 |  6.649e-09 |  7.25e-05 |  1.65e-04 |  5.15e-05 |  1.18e-02 |  7.59e-03 |  8.98e-05 |  1.0e-04 |  4.69e-11 |  1.03e-03
   940 |  2.322e-07 |  2.321e-08 |  6.601e-09 |  7.22e-05 |  1.64e-04 |  5.17e-05 |  1.18e-02 |  7.55e-03 |  8.87e-05 |  1.0e-04 |  4.16e-11 |  1.02e-03
   950 |  2.308e-07 |  2.307e-08 |  6.531e-09 |  7.19e-05 |  1.63e-04 |  5.09e-05 |  1.17e-02 |  7.51e-03 |  8.76e-05 |  1.0e-04 |  4.52e-11 |  1.02e-03
   960 |  2.295e-07 |  2.294e-08 |  6.485e-09 |  7.16e-05 |  1.63e-04 |  5.15e-05 |  1.16e-02 |  7.47e-03 |  8.66e-05 |  1.0e-04 |  4.92e-11 |  1.02e-03
   970 |  2.281e-07 |  2.280e-08 |  6.421e-09 |  7.13e-05 |  1.62e-04 |  5.06e-05 |  1.15e-02 |  7.43e-03 |  8.55e-05 |  1.0e-04 |  5.27e-11 |  1.02e-03
   980 |  2.268e-07 |  2.267e-08 |  6.365e-09 |  7.10e-05 |  1.61e-04 |  5.05e-05 |  1.14e-02 |  8.13e-03 |  9.28e-05 |  1.0e-04 |  5.21e-11 |  1.02e-03
   990 |  2.255e-07 |  2.254e-08 |  6.324e-09 |  7.08e-05 |  1.60e-04 |  5.10e-05 |  1.14e-02 |  7.36e-03 |  8.35e-05 |  1.0e-04 |  4.26e-11 |  1.02e-03
  1000 |  2.241e-07 |  2.240e-08 |  6.260e-09 |  7.05e-05 |  1.59e-04 |  5.03e-05 |  1.13e-02 |  8.05e-03 |  9.08e-05 |  1.0e-04 |  5.01e-11 |  1.01e-03
  1010 |  2.229e-07 |  2.227e-08 |  6.207e-09 |  7.02e-05 |  1.58e-04 |  5.05e-05 |  1.12e-02 |  8.01e-03 |  8.97e-05 |  1.0e-04 |  3.99e-11 |  1.01e-03
  1020 |  2.217e-07 |  2.215e-08 |  6.157e-09 |  6.99e-05 |  1.57e-04 |  5.05e-05 |  1.11e-02 |  7.97e-03 |  8.86e-05 |  1.0e-04 |  4.77e-11 |  1.01e-03
  1030 |  2.203e-07 |  2.202e-08 |  6.106e-09 |  6.97e-05 |  1.56e-04 |  5.02e-05 |  1.10e-02 |  7.93e-03 |  8.75e-05 |  1.0e-04 |  4.42e-11 |  1.01e-03
  1040 |  2.192e-07 |  2.190e-08 |  6.050e-09 |  6.94e-05 |  1.56e-04 |  5.00e-05 |  1.10e-02 |  7.89e-03 |  8.65e-05 |  1.0e-04 |  3.91e-11 |  1.01e-03
  1050 |  2.179e-07 |  2.178e-08 |  5.995e-09 |  6.92e-05 |  1.55e-04 |  4.95e-05 |  1.09e-02 |  7.86e-03 |  8.56e-05 |  1.0e-04 |  5.63e-11 |  1.01e-03
  1060 |  2.168e-07 |  2.166e-08 |  5.959e-09 |  6.89e-05 |  1.54e-04 |  5.00e-05 |  1.08e-02 |  7.82e-03 |  8.46e-05 |  1.0e-04 |  4.37e-11 |  1.01e-03
  1070 |  2.156e-07 |  2.155e-08 |  5.899e-09 |  6.87e-05 |  1.53e-04 |  4.94e-05 |  1.07e-02 |  7.78e-03 |  8.36e-05 |  1.0e-04 |  4.64e-11 |  1.00e-03
  1080 |  2.145e-07 |  2.144e-08 |  5.861e-09 |  6.84e-05 |  1.52e-04 |  4.97e-05 |  1.07e-02 |  7.74e-03 |  8.26e-05 |  1.0e-04 |  5.08e-11 |  1.00e-03
  1090 |  2.134e-07 |  2.133e-08 |  5.811e-09 |  6.82e-05 |  1.52e-04 |  4.94e-05 |  1.06e-02 |  7.71e-03 |  8.17e-05 |  1.0e-04 |  3.84e-11 |  1.00e-03
  1100 |  2.123e-07 |  2.122e-08 |  5.773e-09 |  6.80e-05 |  1.51e-04 |  4.96e-05 |  1.05e-02 |  7.67e-03 |  8.08e-05 |  1.0e-04 |  4.10e-11 |  1.00e-03
  1110 |  2.113e-07 |  2.112e-08 |  5.724e-09 |  6.78e-05 |  1.50e-04 |  4.91e-05 |  1.05e-02 |  7.64e-03 |  7.99e-05 |  1.0e-04 |  4.12e-11 |  9.99e-04
  1120 |  2.103e-07 |  2.102e-08 |  5.676e-09 |  6.75e-05 |  1.49e-04 |  4.90e-05 |  1.04e-02 |  7.60e-03 |  7.91e-05 |  1.0e-04 |  3.81e-11 |  9.98e-04
  1130 |  2.092e-07 |  2.091e-08 |  5.630e-09 |  6.73e-05 |  1.49e-04 |  4.86e-05 |  1.03e-02 |  7.57e-03 |  7.83e-05 |  1.0e-04 |  3.49e-11 |  9.97e-04
