iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1970,0.00483,4.419e-09,5.227289999999999e-09,4.8841e-10,2.9584000000000004e-10,4.8163600000000005e-09
1980,0.004811,4.402e-09,5.212840000000001e-09,4.8841e-10,2.9584000000000004e-10,4.8024900000000004e-09
1990,0.004792,4.385e-09,5.184e-09,4.84e-10,2.9584000000000004e-10,4.8024900000000004e-09
2000,0.004774,4.368e-09,5.155239999999999e-09,4.84e-10,2.9929e-10,4.78864e-09
2010,0.004756,4.351e-09,5.140889999999999e-09,4.796100000000001e-10,2.9929e-10,4.7748099999999996e-09
2020,0.004738,4.335e-09,5.112250000000001e-09,4.796100000000001e-10,2.9929e-10,4.7748099999999996e-09
2030,0.004721,4.318e-09,5.09796e-09,4.752400000000001e-10,2.9929e-10,4.7609999999999996e-09
2040,0.004705,4.302e-09,5.069439999999999e-09,4.752400000000001e-10,2.9929e-10,4.747209999999999e-09
2050,0.004689,4.285e-09,5.055209999999999e-09,4.708899999999999e-10,2.9929e-10,4.747209999999999e-09
2060,0.004673,4.269e-09,5.02681e-09,4.708899999999999e-10,2.9929e-10,4.7334400000000006e-09
2070,0.004658,4.253e-09,5.01264e-09,4.6656e-10,2.9929e-10,4.7334400000000006e-09
2080,0.004643,4.237e-09,4.984359999999999e-09,4.6656e-10,2.9929e-10,4.719690000000001e-09
2090,0.004629,4.222e-09,4.970250000000001e-09,4.6225000000000003e-10,2.9929e-10,4.70596e-09
2100,0.004615,4.206e-09,4.95616e-09,4.6225000000000003e-10,2.9929e-10,4.70596e-09
2110,0.004601,4.19e-09,4.92804e-09,4.5795999999999994e-10,2.9929e-10,4.692249999999999e-09
2120,0.004586,4.174e-09,4.914009999999999e-09,4.5368999999999996e-10,2.9929e-10,4.692249999999999e-09
2130,0.004572,4.157e-09,4.8860100000000006e-09,4.5368999999999996e-10,2.9929e-10,4.67856e-09
2140,0.004558,4.141e-09,4.87204e-09,4.4944e-10,2.9929e-10,4.664890000000001e-09
2150,0.004545,4.125e-09,4.84416e-09,4.4944e-10,2.9929e-10,4.664890000000001e-09
2160,0.004532,4.11e-09,4.8302499999999995e-09,4.4521000000000006e-10,2.9929e-10,4.651240000000001e-09
2170,0.004519,4.094e-09,4.8024900000000004e-09,4.4521000000000006e-10,2.9929e-10,4.6376100000000005e-09
2180,0.004507,4.079e-09,4.78864e-09,4.41e-10,2.9929e-10,4.6376100000000005e-09
2190,0.004495,4.063e-09,4.7609999999999996e-09,4.41e-10,2.9929e-10,4.624e-09
2200,0.004483,4.048e-09,4.747209999999999e-09,4.3681e-10,2.9929e-10,4.61041e-09
2210,0.004472,4.033e-09,4.719690000000001e-09,4.3681e-10,2.9929e-10,4.61041e-09
2220,0.004461,4.019e-09,4.70596e-09,4.3264e-10,2.9929e-10,4.596839999999999e-09
2230,0.00445,4.004e-09,4.692249999999999e-09,4.3264e-10,2.9929e-10,4.583290000000001e-09
2240,0.004439,3.99e-09,4.664890000000001e-09,4.2848999999999993e-10,2.9929e-10,4.583290000000001e-09
2250,0.004429,3.976e-09,4.651240000000001e-09,4.2848999999999993e-10,2.9929e-10,4.56976e-09
2260,0.004419,3.962e-09,4.6376100000000005e-09,4.2435999999999997e-10,2.9929e-10,4.55625e-09
2270,0.004409,3.949e-09,4.61041e-09,4.2435999999999997e-10,2.9929e-10,4.55625e-09
2280,0.0044,3.935e-09,4.596839999999999e-09,4.2025e-10,2.9929e-10,4.54276e-09
2290,0.00439,3.922e-09,4.583290000000001e-09,4.2025e-10,2.9929e-10,4.54276e-09
2300,0.00438,3.908e-09,4.55625e-09,4.2025e-10,2.9929e-10,4.529289999999999e-09
2310,0.00437,3.894e-09,4.54276e-09,4.1616000000000004e-10,2.9929e-10,4.515839999999999e-09
2320,0.004361,3.88e-09,4.529289999999999e-09,4.1616000000000004e-10,2.9929e-10,4.515839999999999e-09
2330,0.004351,3.866e-09,4.50241e-09,4.1208999999999997e-10,2.9929e-10,4.50241e-09
2340,0.004342,3.853e-09,4.4890000000000005e-09,4.1208999999999997e-10,2.9929e-10,4.4890000000000005e-09
2350,0.004333,3.84e-09,4.47561e-09,4.0803999999999997e-10,2.9929e-10,4.47561e-09
2360,0.004324,3.826e-09,4.462239999999999e-09,4.0803999999999997e-10,2.9929e-10,4.47561e-09
2370,0.004315,3.814e-09,4.435560000000001e-09,4.0401000000000003e-10,2.9929e-10,4.462239999999999e-09
2380,0.004307,3.801e-09,4.42225e-09,4.0401000000000003e-10,2.9929e-10,4.462239999999999e-09
2390,0.004298,3.788e-09,4.4089600000000005e-09,4.0000000000000007e-10,2.9929e-10,4.4488899999999995e-09
2400,0.00429,3.776e-09,4.39569e-09,4.0000000000000007e-10,2.9929e-10,4.435560000000001e-09
2410,0.004282,3.764e-09,4.38244e-09,3.9600999999999996e-10,2.9929e-10,4.435560000000001e-09
2420,0.004274,3.752e-09,4.369209999999999e-09,3.9600999999999996e-10,2.9929e-10,4.42225e-09
2430,0.004266,3.74e-09,4.34281e-09,3.9204e-10,2.9929e-10,4.4089600000000005e-09
2440,0.004258,3.729e-09,4.32964e-09,3.9204e-10,2.9929e-10,4.4089600000000005e-09
2450,0.004251,3.717e-09,4.3164899999999994e-09,3.9204e-10,2.9929e-10,4.39569e-09
2460,0.004243,3.706e-09,4.3033599999999995e-09,3.8809000000000005e-10,2.9929e-10,4.38244e-09
2470,0.004236,3.695e-09,4.290250000000001e-09,3.8809000000000005e-10,2.9929e-10,4.38244e-09
2480,0.004229,3.684e-09,4.2771600000000006e-09,3.8415999999999994e-10,2.9929e-10,4.369209999999999e-09
2490,0.004222,3.673e-09,4.26409e-09,3.8415999999999994e-10,2.9929e-10,4.356e-09
2500,0.004215,3.662e-09,4.25104e-09,3.8025e-10,2.9929e-10,4.356e-09
2510,0.004208,3.651e-09,4.2380099999999995e-09,3.8025e-10,2.9929e-10,4.34281e-09
2520,0.004201,3.641e-09,4.224999999999999e-09,3.8025e-10,2.9929e-10,4.34281e-09
2530,0.004194,3.631e-09,4.212010000000001e-09,3.7636000000000003e-10,2.9929e-10,4.32964e-09
2540,0.004187,3.621e-09,4.1990400000000004e-09,3.7636000000000003e-10,2.9929e-10,4.3164899999999994e-09
2550,0.004181,3.61e-09,4.18609e-09,3.724900000000001e-10,2.9929e-10,4.3164899999999994e-09
2560,0.004174,3.601e-09,4.17316e-09,3.724900000000001e-10,2.9584000000000004e-10,4.3033599999999995e-09
2570,0.004168,3.591e-09,4.160249999999999e-09,3.724900000000001e-10,2.9584000000000004e-10,4.3033599999999995e-09
2580,0.004161,3.581e-09,4.147359999999999e-09,3.6864e-10,2.9584000000000004e-10,4.290250000000001e-09
2590,0.004155,3.572e-09,4.134490000000001e-09,3.6864e-10,2.9584000000000004e-10,4.2771600000000006e-09
2600,0.004149,3.562e-09,4.12164e-09,3.6481e-10,2.9584000000000004e-10,4.2771600000000006e-09
2610,0.004142,3.553e-09,4.10881e-09,3.6481e-10,2.9584000000000004e-10,4.26409e-09
2620,0.004136,3.544e-09,4.096e-09,3.6481e-10,2.9584000000000004e-10,4.26409e-09
