iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source,alpha,tau,lam,mu,kkt_res,d_inf,d_l2
1250,nan,0.000314,nan,0.000314,PDE_obj_MSE,0.251,0.4576036,0.0001,nan,0.00034,0.0029,0.00926
1260,nan,0.0003112,nan,0.0003112,PDE_obj_MSE,0.206,0.4576036,0.0001,nan,0.00034,0.00356,0.0109
1270,nan,0.0003124,nan,0.0003124,PDE_obj_MSE,0.709,0.4576036,0.0001,nan,0.00034,0.0017,0.00609
1280,nan,0.0003079,nan,0.0003079,PDE_obj_MSE,0.105,0.4576036,0.0001,nan,0.00034,0.00472,0.0136
1290,nan,0.0003102,nan,0.0003102,PDE_obj_MSE,0.936,0.4576036,0.0001,nan,0.00034,0.00213,0.00623
1300,nan,0.0003026,nan,0.0003026,PDE_obj_MSE,0.297,0.4576036,0.0001,nan,0.00034,0.0031,0.0104
1310,nan,0.000301,nan,0.000301,PDE_obj_MSE,0.394,0.4576036,0.0001,nan,0.00033,0.00235,0.00861
1320,nan,0.0002986,nan,0.0002986,PDE_obj_MSE,0.0939,0.4576036,0.0001,nan,0.00033,0.00546,0.0157
1330,nan,0.0002985,nan,0.0002985,PDE_obj_MSE,0.838,0.4576036,0.0001,nan,0.00033,0.00195,0.00559
1340,nan,0.0002927,nan,0.0002927,PDE_obj_MSE,0.2,0.4576036,0.0001,nan,0.00033,0.00395,0.0115
1350,nan,0.0002919,nan,0.0002919,PDE_obj_MSE,0.124,0.4576036,0.0001,nan,0.00033,0.00333,0.0111
1360,nan,0.0002896,nan,0.0002896,PDE_obj_MSE,1.0,0.4576036,0.0001,nan,0.00033,0.000436,0.00296
1370,nan,0.0002903,nan,0.0002903,PDE_obj_MSE,0.998,0.4576036,0.0001,nan,0.00033,0.00137,0.0046
1380,nan,0.0002864,nan,0.0002864,PDE_obj_MSE,0.747,0.4576036,0.0001,nan,0.00032,0.0012,0.00553
1390,nan,0.0002857,nan,0.0002857,PDE_obj_MSE,0.9,0.4576036,0.0001,nan,0.00032,0.00175,0.00538
1400,nan,0.0002814,nan,0.0002814,PDE_obj_MSE,0.987,0.4576036,0.0001,nan,0.00032,0.00102,0.00492
1410,nan,0.0002802,nan,0.0002802,PDE_obj_MSE,0.121,0.4576036,0.0001,nan,0.00032,0.00468,0.0147
1420,nan,0.0002799,nan,0.0002799,PDE_obj_MSE,0.979,0.4576036,0.0001,nan,0.00032,0.00152,0.0043
