iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
1010,0.000385,3.85e-05,1.028e-09,3.6723600000000003e-09,1.87489e-11,3.9816099999999996e-11,1.1236e-10,0.002778,0.4576036,0.338,0.34,0.00039,0.00278,0.00976
1020,0.000381,3.81e-05,4.269e-09,5.140889999999999e-09,1.8147599999999998e-11,3.893760000000001e-11,1.1236e-10,0.005682,0.4576036,0.118,0.338,0.00039,0.00568,0.0178
1030,0.0003795,3.795e-05,2.262e-09,7.744e-09,1.79776e-11,3.893760000000001e-11,1.1025e-10,0.002507,0.4576036,0.49,0.336,0.00039,0.00251,0.00852
1040,0.0003747,3.747e-05,1.597e-09,7.327359999999999e-09,1.7639999999999997e-11,3.95641e-11,1.0608999999999999e-10,0.005124,0.4576036,0.155,0.335,0.00039,0.00512,0.0147
1050,0.0003712,3.7120000000000004e-05,2.872e-09,3.4456899999999995e-09,1.8232899999999998e-11,3.80689e-11,1.0608999999999999e-10,0.005757,0.4576036,0.096,0.333,0.00038,0.00576,0.0178
1060,0.0003704,3.704e-05,2.862e-09,5.27076e-09,1.6892099999999997e-11,3.782250000000001e-11,1.0404000000000001e-10,0.001451,0.4576036,0.855,0.331,0.00038,0.00145,0.00606
1070,0.0003643,3.643e-05,3.638e-09,6.130890000000001e-09,1.73056e-11,3.94384e-11,9.980009999999999e-11,0.00719,0.4576036,0.0714,0.33,0.00038,0.00719,0.02
1080,0.0003606,3.606e-05,1.148e-09,6.4641600000000006e-09,1.70569e-11,3.76996e-11,9.920159999999998e-11,0.004452,0.4576036,0.203,0.328,0.00038,0.00445,0.0133
1090,0.0003581,3.581e-05,2.681e-09,6.62596e-09,1.67281e-11,3.6966400000000005e-11,9.74169e-11,0.0007939,0.4576036,1.02,0.327,0.00037,0.000794,0.0041
1100,0.000354,3.54e-05,2.049e-09,4.899999999999999e-09,1.6402500000000002e-11,3.66025e-11,9.52576e-11,0.0007252,0.4576036,1.02,0.325,0.00037,0.000725,0.00424
1110,0.0003506,3.506e-05,4.717e-09,7.02244e-09,1.67281e-11,3.63609e-11,9.409000000000001e-11,0.0005983,0.4576036,1.01,0.324,0.00037,0.000598,0.00367
1120,0.0003517,3.517e-05,1.419e-09,9.682560000000002e-09,1.7556099999999996e-11,3.58801e-11,9.19681e-11,0.001756,0.4576036,0.688,0.322,0.00037,0.00176,0.00746
