iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
860,0.0007218,7.155e-05,1.443e-05,6.6563999999999995e-06,1.69e-06,0.00010609000000000001,1.04976e-05,0.00258,0.0013,0.0103,0.00324,0.122,0.0279,0.0034,0.0001,5.09e-10,0.0498,0.0364
870,0.0006697,6.655e-05,1e-05,4.452099999999999e-06,1.0609000000000003e-06,7.55161e-05,6.76e-06,0.00211,0.00103,0.00869,0.0026,0.116,0.023,0.00266,0.0001,4.25e-10,0.0475,0.0364
880,0.0006313,6.279e-05,7.196e-06,3.1329e-06,7.37881e-07,5.5353600000000005e-05,4.7089e-06,0.00177,0.000859,0.00744,0.00217,0.11,0.0208,0.00229,0.0001,4.73e-10,0.0455,0.0364
890,0.0006014,5.987e-05,5.345e-06,2.2801e-06,5.61001e-07,4.14736e-05,3.4596000000000003e-06,0.00151,0.000749,0.00644,0.00186,0.106,0.0188,0.00198,0.0001,5.14e-10,0.0438,0.0364
900,0.0005774,5.752e-05,4.081e-06,1.7161e-06,4.52929e-07,3.16969e-05,2.6896e-06,0.00131,0.000673,0.00563,0.00164,0.104,0.017,0.00176,0.0001,5.44e-10,0.0423,0.0364
910,0.0005576,5.558e-05,3.19e-06,1.3456e-06,3.819239999999999e-07,2.46016e-05,2.1609e-06,0.00116,0.000618,0.00496,0.00147,0.104,0.0153,0.00159,0.0001,4.38e-10,0.041,0.0364
920,0.0005411,5.396e-05,2.546e-06,1.0815999999999997e-06,3.31776e-07,1.9448099999999998e-05,1.8225000000000001e-06,0.00104,0.000576,0.00441,0.00135,0.103,0.0139,0.00143,0.0001,4.16e-10,0.0398,0.0364
930,0.0005269,5.256e-05,2.066e-06,8.798440000000001e-07,2.9376399999999996e-07,1.5523599999999998e-05,1.5625e-06,0.000938,0.000542,0.00394,0.00125,0.102,0.0125,0.00128,0.0001,4.5e-10,0.0387,0.0364
940,0.0005147,5.136e-05,1.702e-06,7.32736e-07,2.652250000000001e-07,1.25316e-05,1.3689000000000001e-06,0.000856,0.000515,0.00354,0.00117,0.101,0.0113,0.00114,0.0001,5.5e-10,0.0378,0.0364
950,0.0005044,5.034e-05,1.429e-06,6.22521e-07,2.4304899999999997e-07,1.0304100000000002e-05,1.21e-06,0.000789,0.000493,0.00321,0.0011,0.0994,0.0113,0.00112,0.0001,5.06e-10,0.0369,0.0364
960,0.0004953,4.944e-05,1.215e-06,5.35824e-07,2.2467599999999997e-07,8.526399999999999e-06,1.1024999999999998e-06,0.000732,0.000474,0.00292,0.00105,0.098,0.0102,0.001,0.0001,4.33e-10,0.0361,0.0364
970,0.0004872,4.864e-05,1.043e-06,4.6785600000000006e-07,2.0976400000000002e-07,7.1289000000000005e-06,1e-06,0.000684,0.000458,0.00267,0.001,0.0966,0.0102,0.000981,0.0001,4.38e-10,0.0353,0.0364
980,0.0004803,4.796e-05,9.098e-07,4.13449e-07,1.97136e-07,6.0516e-06,9.37024e-07,0.000643,0.000444,0.00246,0.000968,0.0952,0.00918,0.000874,0.0001,4.7e-10,0.0346,0.0364
990,0.0004739,4.734e-05,7.981e-07,3.68449e-07,1.8576100000000002e-07,5.107599999999999e-06,8.742249999999999e-07,0.000607,0.000431,0.00226,0.000935,0.0937,0.00831,0.000779,0.0001,3.47e-10,0.0339,0.0364
1000,0.0004685,4.68e-05,7.096e-07,3.3292900000000003e-07,1.7640000000000002e-07,4.409999999999999e-06,8.22649e-07,0.000577,0.00042,0.0021,0.000907,0.0923,0.00827,0.000763,0.0001,4.22e-10,0.0333,0.0364
1010,0.0004634,4.629e-05,6.334e-07,3.01401e-07,1.681e-07,3.8024999999999996e-06,7.779239999999999e-07,0.000549,0.00041,0.00195,0.000882,0.0909,0.00822,0.000748,0.0001,3.15e-10,0.0327,0.0364
1020,0.000459,4.586e-05,5.727e-07,2.76676e-07,1.6080099999999999e-07,3.3124e-06,7.396e-07,0.000526,0.000401,0.00182,0.00086,0.0896,0.00744,0.000667,0.0001,3.77e-10,0.0322,0.0364
1030,0.0004549,4.546e-05,5.197e-07,2.5502500000000005e-07,1.54449e-07,2.89e-06,7.056000000000001e-07,0.000505,0.000393,0.0017,0.00084,0.0883,0.0074,0.000654,0.0001,2.85e-10,0.0317,0.0364
1040,0.0004513,4.509e-05,4.753e-07,2.36196e-07,1.48225e-07,2.56e-06,6.773289999999999e-07,0.000486,0.000385,0.0016,0.000823,0.087,0.0067,0.000583,0.0001,4.7e-10,0.0312,0.0364
1050,0.000448,4.477e-05,4.374e-07,2.209e-07,1.4288400000000002e-07,2.25e-06,6.51249e-07,0.00047,0.000378,0.0015,0.000807,0.0857,0.00667,0.000572,0.0001,3.18e-10,0.0308,0.0364
1060,0.0004449,4.445e-05,4.038e-07,2.06116e-07,1.38384e-07,1.9881e-06,6.27264e-07,0.000454,0.000372,0.00141,0.000792,0.0845,0.00663,0.000561,0.0001,3.98e-10,0.0303,0.0364
1070,0.0004421,4.418e-05,3.76e-07,1.9448099999999998e-07,1.33956e-07,1.7956000000000002e-06,6.05284e-07,0.000441,0.000366,0.00134,0.000778,0.0833,0.006,0.0005,0.0001,4.08e-10,0.0299,0.0364
1080,0.0004396,4.393e-05,3.512e-07,1.8404100000000003e-07,1.2960000000000002e-07,1.6129000000000003e-06,5.86756e-07,0.000429,0.00036,0.00127,0.000766,0.0822,0.00597,0.000491,0.0001,3.13e-10,0.0296,0.0364
1090,0.0004371,4.369e-05,3.288e-07,1.73889e-07,1.2602500000000002e-07,1.4399999999999998e-06,5.68516e-07,0.000417,0.000355,0.0012,0.000754,0.081,0.00595,0.000482,0.0001,3.79e-10,0.0292,0.0364
1100,0.000435,4.348e-05,3.1e-07,1.6564900000000003e-07,1.225e-07,1.2995999999999998e-06,5.53536e-07,0.000407,0.00035,0.00114,0.000744,0.0799,0.00538,0.00043,0.0001,3.1e-10,0.0288,0.0364
1110,0.0004329,4.328e-05,2.931e-07,1.5840400000000002e-07,1.1902499999999998e-07,1.1881000000000001e-06,5.387559999999999e-07,0.000398,0.000345,0.00109,0.000734,0.0789,0.00536,0.000423,0.0001,3.18e-10,0.0285,0.0364
1120,0.000431,4.308e-05,2.777e-07,1.521e-07,1.16281e-07,1.0815999999999997e-06,5.256249999999999e-07,0.00039,0.000341,0.00104,0.000725,0.0779,0.00533,0.000415,0.0001,3.09e-10,0.0282,0.0364
1130,0.0004292,4.29e-05,2.639e-07,1.45924e-07,1.13569e-07,9.801e-07,5.126559999999999e-07,0.000382,0.000337,0.00099,0.000716,0.0768,0.00483,0.000371,0.0001,2.87e-10,0.0279,0.0364
1140,0.0004276,4.275e-05,2.52e-07,1.40625e-07,1.1088900000000001e-07,8.987039999999999e-07,5.012639999999999e-07,0.000375,0.000333,0.000948,0.000708,0.0759,0.0048,0.000365,0.0001,2.69e-10,0.0276,0.0364
1150,0.0004261,4.259e-05,2.411e-07,1.35424e-07,1.0824099999999998e-07,8.24464e-07,4.9e-07,0.000368,0.000329,0.000908,0.0007,0.0749,0.00478,0.000358,0.0001,3.98e-10,0.0273,0.0364
