iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
3500,nan,0.2999,nan,0.2999,PDE_obj_MSE
3510,nan,0.2999,nan,0.2999,PDE_obj_MSE
3520,nan,0.2999,nan,0.2999,PDE_obj_MSE
3530,nan,0.2999,nan,0.2999,PDE_obj_MSE
3540,nan,0.2999,nan,0.2999,PDE_obj_MSE
3550,nan,0.2999,nan,0.2999,PDE_obj_MSE
3560,nan,0.2999,nan,0.2999,PDE_obj_MSE
3570,nan,0.2999,nan,0.2999,PDE_obj_MSE
3580,nan,0.2999,nan,0.2999,PDE_obj_MSE
3590,nan,0.2999,nan,0.2999,PDE_obj_MSE
3600,nan,0.2999,nan,0.2999,PDE_obj_MSE
3610,nan,0.2999,nan,0.2999,PDE_obj_MSE
3620,nan,0.2999,nan,0.2999,PDE_obj_MSE
3630,nan,0.2999,nan,0.2999,PDE_obj_MSE
3640,nan,0.2999,nan,0.2999,PDE_obj_MSE
3650,nan,0.2999,nan,0.2999,PDE_obj_MSE
3660,nan,0.2999,nan,0.2999,PDE_obj_MSE
3670,nan,0.2999,nan,0.2999,PDE_obj_MSE
3680,nan,0.2999,nan,0.2999,PDE_obj_MSE
3690,nan,0.2999,nan,0.2999,PDE_obj_MSE
3700,nan,0.2999,nan,0.2999,PDE_obj_MSE
3710,nan,0.2999,nan,0.2999,PDE_obj_MSE
3720,nan,0.2999,nan,0.2999,PDE_obj_MSE
3730,nan,0.2999,nan,0.2999,PDE_obj_MSE
3740,nan,0.2999,nan,0.2999,PDE_obj_MSE
3750,nan,0.2999,nan,0.2999,PDE_obj_MSE
3760,nan,0.2999,nan,0.2999,PDE_obj_MSE
3770,nan,0.2999,nan,0.2999,PDE_obj_MSE
3780,nan,0.2999,nan,0.2999,PDE_obj_MSE
3790,nan,0.2999,nan,0.2999,PDE_obj_MSE
3800,nan,0.2999,nan,0.2999,PDE_obj_MSE
3810,nan,0.2999,nan,0.2999,PDE_obj_MSE
3820,nan,0.2999,nan,0.2999,PDE_obj_MSE
3830,nan,0.2999,nan,0.2999,PDE_obj_MSE
