iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1410,0.0002802,5.406e-10,5.700250000000001e-09,1.3616099999999998e-11,2.809e-11,6.09961e-11
1420,0.0002799,6.985e-10,2.3716899999999997e-09,1.3616099999999998e-11,2.8408899999999997e-11,6.00625e-11
1430,0.0002768,6.258e-10,5.89824e-09,1.35424e-11,2.7667599999999997e-11,5.99076e-11
1440,0.0002747,8.297e-10,1.9272100000000004e-09,1.39876e-11,2.8302399999999998e-11,5.867559999999999e-11
1450,0.0002736,1.877e-09,4.94209e-09,1.3764100000000001e-11,2.74576e-11,5.836959999999999e-11
1460,0.0002716,1.755e-09,3.1922499999999996e-09,1.3395600000000002e-11,2.704e-11,5.80644e-11
1470,0.0002696,9.631e-10,3.6481599999999995e-09,1.3690000000000002e-11,2.6728899999999996e-11,5.7456400000000004e-11
1480,0.0002672,1.072e-09,5.184e-09,1.31769e-11,2.6936100000000004e-11,5.67009e-11
1490,0.0002666,3.83e-10,5.1984100000000005e-09,1.3322500000000001e-11,2.6522499999999998e-11,5.625e-11
1500,0.0002644,1.034e-09,9.350890000000002e-09,1.45161e-11,2.7772900000000005e-11,5.53536e-11
1510,0.0002608,2.07e-09,5.31441e-09,1.3395600000000002e-11,2.63169e-11,5.49081e-11
1520,0.0002616,1.894e-09,6.70761e-09,1.31044e-11,2.61121e-11,5.41696e-11
1530,0.00026,7.894e-10,4.369209999999999e-09,1.3395600000000002e-11,2.5704899999999997e-11,5.34361e-11
1540,0.0002561,1.156e-09,5.8216899999999996e-09,1.31044e-11,2.5502499999999998e-11,5.314409999999999e-11
1550,0.0002571,1.526e-09,3.136e-09,1.31044e-11,2.54016e-11,5.27076e-11
1560,0.0002536,5.366e-10,3.68449e-09,1.34689e-11,2.5603599999999998e-11,5.24176e-11
1570,0.0002522,7.287e-10,3.43396e-09,1.32496e-11,2.5000000000000004e-11,5.183999999999999e-11
